provincia,pais,lat,long,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020
Distrito Nacional,Repulica dominicana,18.4861,-69.983333,14,51,88,108,137,178,235,273,321,376,381,462,520,535,588,624,665,696,723,762,800,859,886,921,948,959,1003,1015,1078,1107,1198,1281,1295,1337,1401,1457,1491
Azua,Repulica dominicana,18.4532,70.7347,0,2,2,2,1,1,4,4,5,6,7,7,7,7,7,7,7,7,8,9,10,10,11,12,15,15,20,20,20,20,22,23,23,24,24,25,30
Baoruco,Repulica dominicana,18.488,71.4182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
Barahona,Repulica dominicana,18.2121,71.1024,0,1,1,1,1,2,2,4,4,2,3,3,7,11,11,11,12,12,12,12,12,15,15,15,15,15,15,19,25,25,25,25,33,33,33,35,35
Dajabón,Repulica dominicana,19.5499,71.7087,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3
Duarte,Repulica dominicana,19.2091,70.027,2,4,8,17,29,29,43,59,65,83,90,94,101,110,112,112,132,141,141,154,196,233,252,273,300,315,350,355,416,439,461,486,486,519,547,557,562
Elías Piña,Repulica dominicana,19.0525,71.6199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
El Seibo,Repulica dominicana,18.7653,69.0389,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4
Espaillat,Repulica dominicana,19.6278,70.2787,0,1,1,1,2,5,10,10,11,15,15,22,28,28,30,32,44,44,46,55,60,64,66,67,72,82,83,105,118,122,137,138,138,162,162,162,186
Independencia,Repulica dominicana,18.3786,71.5233,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
